index,time,x,y,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,²½³¤,µ¥²½×ª¶¯½Ç,Æ«º½½Ç,¸©Ñö½Ç,¹ö×ª½Ç,,,,,,,,,,,,,,,,,,,,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,,,
3059,3272.344779,34.23242024,-32.66116377,11.01208159,-45.58688822,-1.333774492,996.217468,0.626544059,0.02774015,-1.580005,-0.021228,-0.075033,,,,,,,,,,,,,,,,,,,,32.01504221,-36.5812985,-0.851867154,997.704346,-1.122633,-0.185669,-0.104848
3111,3272.986143,33.53008509,-32.69784314,13.18203077,-44.80638097,-1.284669224,996.215454,0.703292284,0.007917429,-1.46454,-0.058389,-0.033173,,,,,,,,,,,,,,,,,,,,32.30934868,-37.28817422,-0.856813899,997.704346,-1.119377,-0.195545,-0.108032
3157,3273.553555,32.77206082,-32.71173041,11.75069786,-45.09798296,-1.315904475,996.216858,0.758151473,-0.033859189,-1.381711,0.037124,-0.087538,,,,,,,,,,,,,,,,,,,,32.45223147,-37.1639194,-0.852976064,997.704346,-1.114149,-0.201527,-0.109411
3201,3274.096329,32.01760153,-32.72387755,13.12184414,-48.43475712,-1.30622913,996.237305,0.754557072,-0.002219222,-1.21086,-0.024558,-0.053579,,,,,,,,,,,,,,,,,,,,31.74552247,-37.16165491,-0.863837306,997.704346,-1.098396,-0.208729,-0.110332
3231,3274.466316,31.45634277,-32.78787888,14.30593006,-48.72592654,-1.285221422,996.237793,0.564896059,0.097442267,-1.336165,0.011396,-0.059097,,,,,,,,,,,,,,,,,,,,31.94107473,-37.09026215,-0.859852309,997.704346,-1.097778,-0.211757,-0.110741
3290,3275.194057,30.86739522,-32.78462546,13.00428472,-51.56220153,-1.323742725,996.229187,0.588956534,-0.119065392,-1.471687,-0.013686,-0.01985,,,,,,,,,,,,,,,,,,,,32.00657949,-37.03370101,-0.858084212,997.704346,-1.097226,-0.213194,-0.11202
3338,3275.786155,30.18535355,-32.75358307,13.20425325,-51.2438526,-1.318607399,996.219177,0.682747741,-0.039958484,-1.674275,-0.003027,-0.035355,,,,,,,,,,,,,,,,,,,,31.28198955,-37.15022672,-0.870941444,997.704346,-1.091224,-0.212316,-0.112384
3380,3276.304236,29.56512424,-32.73346982,12.53144438,-50.42634516,-1.327220632,996.234192,0.620555348,0.013065171,-1.503592,0.000782,-0.029424,,,,,,,,,,,,,,,,,,,,31.17992513,-37.23595044,-0.87368589,997.700134,-1.093079,-0.209415,-0.11076
3413,3276.711269,28.96807243,-32.75717261,12.24504485,-50.24885424,-1.331767097,996.240417,0.59752212,0.072096265,-1.530304,0.028571,-0.050903,,,,,,,,,,,,,,,,,,,,31.09108063,-37.18463331,-0.874411518,997.700134,-1.105083,-0.208028,-0.109695
3470,3277.41429,28.329177,-32.77615331,12.95230118,-49.14964454,-1.313126629,996.22998,0.639177312,-0.009979026,-1.497472,-0.068532,-0.053686,,,,,,,,,,,,,,,,,,,,30.70396045,-37.3926282,-0.883307343,997.700134,-1.126647,-0.206884,-0.108296
3501,3277.796659,27.74885232,-32.8107317,12.57762452,-48.25193824,-1.315804836,996.229675,0.58135394,0.02981434,-1.540097,-0.023939,-0.050623,,,,,,,,,,,,,,,,,,,,30.60523786,-37.47348484,-0.885944795,997.700134,-1.126426,-0.20556,-0.105957
3558,3278.499774,27.13174595,-32.80169316,13.7340728,-47.97752236,-1.291991687,996.229187,0.617172555,-0.074159821,-1.363894,-0.068498,-0.050169,,,,,,,,,,,,,,,,,,,,30.27387628,-36.86246231,-0.883222324,997.700134,-1.138121,-0.204822,-0.104158
3595,3278.95617,26.53566833,-32.81079022,14.69327613,-48.03097983,-1.273924105,996.221375,0.596147035,0.029905974,-1.392589,-0.03274,-0.043324,,,,,,,,,,,,,,,,,,,,29.61672112,-37.61208109,-0.903769777,997.700134,-1.196893,-0.203809,-0.101748
3639,3279.498859,25.81808321,-32.82176774,14.33291291,-47.34158425,-1.276813706,996.240295,0.717669087,3.63115E-05,-1.499936,-0.018666,-0.068668,,,,,,,,,,,,,,,,,,,,29.56799892,-37.65043497,-0.905065019,997.700134,-1.196723,-0.203281,-0.100538
